AMARELO 
 
626 , 282 , 101 , 196 , 
636 , 257 , 77 , 174 , 
583 , 321 , 99 , 227 , 
616 , 266 , 69 , 176 , 
639 , 230 , 65 , 186 , 
438 , 461 , 167 , 371 , 
651 , 255 , 108 , 109 , 
644 , 167 , 32 , 116 , 
716 , 148 , 28 , 88 , 
660 , 258 , 99 , 118 , 

AZUL

125 , 369 , 574 , 95 , 
203 , 346 , 530 , 336 , 
226 , 321 , 493 , -6 , 
232 , 379 , 510 , 294 , 
137 , 392 , 555 , 124 , 
608 , 78 , 106 , 112 , 
290 , 272 , 444 , 439 , 
256 , 352 , 487 , 351 , 
274 , 327 , 450 , 412 , 

VERMELHO

393 , 507 , 223 , 173 , 
412 , 489 , 202 , 150 , 
408 , 482 , 186 , 186 , 
504 , 358 , 88 , 76 , 
358 , 533 , 224 , 132 , 
334 , 550 , 236 , 183 , 
405 , 465 , 213 , 182 , 
722 , 149 , 0 , -25 , 
450 , 454 , 162 , 223 , 
375 , 525 , 182 , 266 , 
509 , 384 , 189 , 178 , 
508 , 378 , 178 , 195 , 
649 , 202 , 75 , 81 , 
495 , 395 , 197 , 150 , 
368 , 521 , 230 , 182 , 
384 , 496 , 212 , 168 , 
429 , 440 , 128 , 106 , 

VERDE


373 , 313 , 255 , 374 , 
335 , -14 , 246 , 423 , 
236 , 392 , 343 , 493 , 
318 , 194 , 221 , 402 , 
362 , 284 , 251 , 379 , 
384 , 257 , 204 , 345 , 
338 , 318 , 269 , 404 , 
320 , 296 , 259 , 402 , 
304 , 312 , 275 , 417 , 

